day	performance	training_stress
1	0	149
2	0	71
3	0	205
4	0	0
5	0	0
6	0	0
7	0	52
8	0	0
9	0	0
10	0	244
11	0	0
12	0	0
13	0	168
14	0	0
15	0	0
16	0	63
17	0	0
18	0	153
19	0	0
20	0	117
21	0	0
22	0	0
23	251	223
24	0	0
25	0	0
26	0	0
27	0	55
28	0	0
29	0	0
30	0	0
31	0	71
32	0	0
33	0	130
34	0	0
35	0	0
36	0	0
37	0	0
38	0	38
39	241	195
40	0	0
41	0	0
42	0	0
43	242	136
44	0	29
45	0	0
46	0	131
47	0	0
48	0	0
49	0	0
50	0	0
51	0	70
52	0	0
53	0	157
54	0	0
55	0	0
56	0	0
57	0	39
58	0	217
59	0	0
60	0	11
61	0	0
62	0	121
63	0	215
64	0	0
65	0	0
66	0	214
67	0	0
68	0	0
69	0	93
70	0	185
71	0	0
72	0	65
73	243	54
74	0	116
75	0	0
76	0	0
77	0	210
78	0	0
79	0	87
80	0	0
81	0	173
82	0	0
83	0	151
84	0	0
85	0	0
86	0	164
87	0	4
88	0	0
89	0	0
90	0	21
91	249	202
92	0	0
93	0	0
94	0	55
95	0	112
96	0	0
97	0	99
98	0	0
99	247	223
100	0	0
101	0	72
102	0	207
103	0	0
104	0	70
105	0	59
106	0	0
107	0	290
108	0	0
109	0	236
110	0	0
111	0	35
112	0	0
113	0	227
114	0	0
115	0	286
116	0	0
117	0	115
118	0	0
119	0	0
120	0	288
121	0	0
122	0	80
123	0	0
124	0	0
125	0	297
126	0	0
127	0	245
128	0	0
129	0	0
130	0	170
131	0	0
132	0	0
133	0	0
134	0	87
135	0	0
136	0	0
137	0	0
138	0	263
139	0	0
140	0	0
141	0	0
142	0	0
143	0	0
144	0	0
145	0	0
146	0	0
147	0	0
148	0	0
149	0	0
150	0	0
151	0	0
152	0	0
153	284	56
154	0	0
155	0	0
156	0	0
157	0	0
158	0	0
159	0	0
160	0	0
161	0	0
162	0	0
163	0	0
164	0	0
165	0	0
166	0	0
167	0	0
168	0	0
169	0	0
170	0	0
171	0	0
172	0	0
173	0	0
174	0	0
175	0	0
176	0	0
177	0	0
178	0	0
179	0	0
180	0	0
181	0	0
182	0	0
183	0	0
184	0	0
185	0	0
186	0	0
187	0	98
188	0	0
189	0	0
190	0	43
191	0	0
192	0	0
193	0	0
194	0	95
195	0	0
196	0	0
197	0	65
198	0	0
199	0	0
200	0	0
201	0	149
202	0	0
203	0	0
204	0	0
205	0	96
206	0	0
207	0	0
208	0	0
209	0	138
210	0	35
211	0	15
212	0	27
213	237	30
214	0	0
215	0	59
216	0	175
217	0	0
218	0	0
219	0	0
220	0	22
221	0	34
222	0	0
223	0	0
224	0	0
225	0	96
226	0	0
227	0	0
228	0	0
229	0	0
230	0	0
231	0	0
232	0	0
233	0	30
234	0	7
235	0	0
236	0	101
237	0	0
238	0	0
239	0	110
240	0	0
241	0	0
242	251	60
243	0	125
244	0	0
245	0	0
246	0	0
247	0	200
248	0	0
249	0	0
250	0	0
251	0	195
252	0	0
253	0	7
254	0	201
255	0	0
256	243	37
257	0	0
258	0	29
259	0	0
260	0	116
261	0	0
262	0	0
263	0	0
264	0	0
265	0	146
266	0	0
267	0	0
268	0	53
269	0	127
270	0	0
271	0	27
272	0	45
273	0	242
274	0	0
275	0	204
276	0	0
277	0	72
278	0	167
279	0	0
280	0	19
281	0	0
282	253	138
283	0	0
284	0	101
285	0	8
286	0	198
287	0	3
288	0	0
289	0	0
290	0	119
291	0	108
292	0	4
293	0	0
294	0	274
295	0	0
296	0	0
297	0	0
298	0	0
299	0	0
300	0	284
301	0	0
302	0	0
303	0	0
304	0	0
305	0	194
306	0	0
307	0	0
308	0	0
309	0	190
310	0	0
311	0	146
312	0	99
313	0	0
314	0	0
315	0	125
316	0	0
317	0	247
318	0	0
319	0	191
320	0	0
321	0	0
322	0	121
323	0	94
324	0	0
325	0	0
326	0	4
327	0	271
328	0	0
329	0	0
330	0	0
331	0	0
332	0	0
333	0	0
334	0	183
335	0	0
336	0	0
337	0	54
338	0	0
339	0	0
340	0	0
341	0	223
342	0	0
343	0	0
344	0	160
345	0	0
346	0	5
347	0	0
348	0	131
349	0	174
350	0	92
351	0	0
352	0	0
353	0	0
354	0	0
355	0	0
356	0	0
357	0	0
358	0	0
359	0	0
360	0	39
361	0	0
362	0	312
363	0	0
364	0	0
365	0	0
366	0	0
367	0	0
368	0	0
369	0	0
370	0	0
371	0	0
372	0	0
373	0	0
374	0	79
375	0	81
376	0	0
377	0	218
378	0	0
379	0	0
380	0	87
381	0	0
382	0	9
383	0	115
384	0	0
385	0	82
386	0	93
387	0	75
388	249	88
389	244	93
390	0	103
391	0	0
392	0	0
393	0	137
394	0	0
395	0	80
396	0	131
397	0	0
398	0	61
399	0	0
400	0	0
401	0	0
402	0	79
403	0	0
404	0	196
405	0	0
406	0	0
407	0	0
408	0	163
409	0	0
410	0	0
411	0	186
412	0	0
413	0	0
414	0	0
415	0	23
416	0	88
417	0	126
418	246	208
419	0	0
420	0	0
421	0	0
422	0	0
423	0	88
424	0	0
425	276	261
426	0	0
427	0	0
428	0	134
429	0	0
430	0	9
431	0	0
432	0	104
433	0	89
434	0	0
435	263	310
436	0	0
437	0	71
438	0	10
439	0	105
440	0	19
441	0	0
442	0	200
443	0	0
444	0	0
445	260	160
446	0	170
447	0	0
448	0	0
449	0	85
450	0	0
451	0	0
452	0	0
453	0	34
454	0	190
455	0	0
456	0	0
457	0	0
458	0	0
459	0	0
460	0	0
461	0	0
462	260	88
463	0	0
464	0	161
465	0	0
466	265	111
467	0	0
468	0	0
469	271	271
470	0	0
471	0	0
472	264	118
473	0	0
474	0	107
475	0	152
476	0	0
477	0	0
478	0	0
479	0	0
480	0	194
481	0	0
482	0	174
483	0	0
484	0	0
485	0	0
486	0	0
487	0	0
488	0	119
489	0	29
490	0	0
491	0	0
492	0	0
493	0	0
494	0	0
495	0	0
496	0	0
497	268	170
498	0	0
499	0	0
500	0	0
501	0	0
502	0	0
503	0	0
504	0	0
505	0	0
506	0	116
507	0	0
508	0	0
509	0	0
510	266	134
511	0	0
512	0	0
513	0	0
514	0	90
515	0	0
516	0	0
517	0	0
518	0	169
519	0	0
520	0	0
521	0	0
522	0	0
523	0	0
524	0	0
525	0	29
526	0	0
527	0	0
528	0	0
529	0	0
530	0	0
531	0	0
532	268	105
